bedroom,parlor,toilet,cookroom,build_size,face,year,distance_metro_code,fitment,floor_total_floor_scale,dealdate,is_school_district,money,biz_scale
1,1,1,1,29.0,0,25,0,2,5,156,0,1390000.0,0.808542165673
1,1,1,1,36.42,0,25,0,3,2,156,0,1730000.0,0.808542165673
1,1,1,1,25.85,0,22,0,2,3,156,0,830000.0,0.808542165673
1,1,2,1,35.95,0,25,4,2,3,156,1,1620000.0,0.808542165673
1,0,1,1,25.0,0,26,0,3,6,156,0,850000.0,0.808542165673
1,0,1,1,38.38,0,25,6,2,4,156,1,1100000.0,0.808542165673
1,0,1,1,37.88,0,23,5,3,8,156,0,1180000.0,0.808542165673
1,1,1,1,41.0,10.0,28,5,3,5,156,0,2150000.0,0.808542165673
1,0,1,1,26.52,6.0,24,5,2,4,156,1,856000.0,0.808542165673
1,0,1,1,49.0,0,26,0,3,1,156,0,1730000.0,0.808542165673
1,0,1,1,25.3,8.0,22,2,2,8,156,0,950000.0,0.808542165673
1,1,1,1,34.71,0,25,0,3,3,156,0,1647000.0,0.808542165673
1,1,2,1,28.0,0,24,0,3,9,156,0,1500000.0,0.808542165673
1,1,1,1,51.0,0,27,0,3,3,156,0,1750000.0,0.808542165673
1,1,2,1,35.84,0,25,0,3,9,156,0,1760000.0,0.808542165673
1,1,1,1,25.52,0,23,0,3,3,156,0,900000.0,0.808542165673
1,0,1,1,24.0,0,23,5,3,1,156,1,830000.0,0.808542165673
1,1,1,1,30.0,0,24,6,3,10,156,0,1650000.0,0.808542165673
1,0,1,1,49.97,6.0,29,6,3,1,156,1,1430000.0,0.808542165673
1,0,1,1,31.14,0,28,6,3,2,156,0,1200000.0,0.808542165673
1,1,2,1,30.27,0,27,0,3,8,156,0,1815000.0,0.808542165673
1,0,1,1,38.0,0,26,0,3,1,156,0,1250000.0,0.808542165673
1,1,1,1,34.24,2.0,20,6,3,3,156,1,1200000.0,0.808542165673
1,1,2,1,33.0,0,27,0,3,7,156,0,1950000.0,0.808542165673
1,1,1,1,54.02,0,27,0,3,4,156,0,1150000.0,0.808542165673
1,1,1,1,50.24,8.0,25,6,3,9,156,1,2600000.0,0.808542165673
1,0,1,1,38.16,0,26,3,3,2,156,0,1390000.0,0.808542165673
1,0,1,1,52.0,0,26,0,3,1,157,0,1670000.0,0.862942064997
1,1,1,1,31.87,0,24,6,3,6,157,0,1720000.0,0.862942064997
1,1,1,1,27.86,0,22,6,3,7,157,0,1560000.0,0.862942064997
1,0,1,1,25.52,0,23,0,3,3,157,0,950000.0,0.862942064997
1,0,1,1,25.0,0,23,0,3,3,157,0,1000000.0,0.862942064997
1,1,1,1,35.77,0,25,0,3,9,157,0,1840000.0,0.862942064997
1,1,1,1,29.91,0,27,0,3,7,157,0,1850000.0,0.862942064997
1,0,1,1,28.8,0,24,6,3,2,157,0,1030000.0,0.862942064997
1,1,1,1,50.0,0,24,0,1,7,158,0,2350000.0,0.860250853904
1,1,1,1,34.0,0,26,6,3,6,157,1,1740000.0,0.862942064997
1,0,1,1,34.0,0,26,6,2,4,158,0,1200000.0,0.860250853904
1,1,1,1,33.0,8.0,25,6,2,6,158,1,1950000.0,0.860250853904
1,0,1,1,27.09,0,24,0,3,8,158,0,950000.0,0.860250853904
1,1,1,1,35.0,0,24,0,3,7,158,0,1800000.0,0.860250853904
1,1,1,1,35.6,4.0,25,4,3,10,158,1,1930000.0,0.860250853904
1,0,1,1,32.19,0,24,0,3,3,158,0,1360000.0,0.860250853904
1,1,1,1,28.62,0,22,0,3,3,158,0,1090000.0,0.860250853904
1,1,1,1,51.35,8.0,27,6,3,3,158,1,2050000.0,0.860250853904
1,0,1,1,26.36,6.0,23,5,3,3,158,1,1040000.0,0.860250853904
1,1,1,1,33.0,0,24,6,3,4,158,1,1850000.0,0.860250853904
1,1,1,1,48.0,0,27,0,3,7,158,0,2680000.0,0.860250853904
1,0,1,1,34.0,0,23,0,3,4,158,0,1330000.0,0.860250853904
1,1,1,1,36.0,0,24,0,3,7,158,0,1900000.0,0.860250853904
1,0,1,1,38.0,0,23,0,3,2,158,0,1300000.0,0.860250853904
1,1,1,1,44.0,0,27,0,3,6,158,0,2480000.0,0.860250853904
1,0,1,1,31.0,0,24,0,3,3,158,0,1380000.0,0.860250853904
1,1,1,1,33.0,0,25,0,2,7,158,0,1780000.0,0.860250853904
1,1,1,1,34.2,0,23,0,3,6,158,0,1275000.0,0.860250853904
1,0,1,1,32.48,0,24,0,3,4,158,0,1240000.0,0.860250853904
1,1,1,1,28.5,0,25,0,2,3,158,0,1650000.0,0.860250853904
1,1,1,1,61.0,0,26,0,3,3,158,0,2220000.0,0.860250853904
1,0,1,0,38.0,0,23,5,3,5,158,0,1370000.0,0.860250853904
1,0,1,1,48.0,0,15,0,3,3,158,0,1850000.0,0.860250853904
1,1,1,1,31.66,8.0,25,6,3,8,158,1,1860000.0,0.860250853904
1,1,1,1,54.0,0,27,0,2,6,158,0,1080000.0,0.860250853904
1,1,1,1,36.65,0,20,0,2,1,158,0,1200000.0,0.860250853904
1,1,1,1,61.0,0,23,0,2,7,158,0,1950000.0,0.860250853904
1,1,1,1,35.56,0,26,0,3,6,158,0,2300000.0,0.860250853904
1,1,2,1,29.0,0,25,0,3,8,158,0,1700000.0,0.860250853904
1,0,1,1,22.0,0,22,5,3,3,158,0,950000.0,0.860250853904
1,1,1,1,36.0,0,27,0,3,2,158,0,2300000.0,0.860250853904
1,1,1,1,28.0,0,24,0,2,8,158,0,1650000.0,0.860250853904
1,0,1,1,25.0,0,26,0,3,8,158,0,1030000.0,0.860250853904
1,1,1,1,26.0,0,22,4,3,4,158,0,920000.0,0.860250853904
1,0,1,1,27.09,0,24,0,3,1,158,0,1010000.0,0.860250853904
1,1,2,1,51.19,0,24,0,3,6,158,0,2665000.0,0.860250853904
1,1,1,1,30.0,0,24,6,3,10,159,0,2000000.0,0.875176966309
1,1,1,1,30.0,0,24,3,3,2,159,0,1000000.0,0.875176966309
1,0,1,1,36.77,0,23,0,2,4,159,0,1190000.0,0.875176966309
1,0,1,0,27.0,0,23,4,2,10,159,0,950000.0,0.875176966309
1,1,1,1,38.38,0,23,0,3,5,159,0,1270000.0,0.875176966309
1,0,1,1,26.02,0,24,0,2,4,159,0,1100000.0,0.875176966309
1,1,1,1,25.3,0,20,0,3,3,159,0,980000.0,0.875176966309
1,1,1,1,26.0,0,23,0,3,3,159,0,1000000.0,0.875176966309
1,1,1,1,23.8,0,23,5,2,2,159,0,900000.0,0.875176966309
1,0,1,1,26.0,0,24,6,3,2,160,0,1050000.0,0.898434193017
1,1,1,1,38.0,0,26,0,3,3,160,0,1200000.0,0.898434193017
1,1,1,1,26.0,0,24,5,2,6,160,0,1520000.0,0.898434193017
