house_id	housedel_id	house_code	standard_id	city_code	bizcircle_code	resblock_id	resblock_name	building_id	building_no	floor_name	floor_ftr	bedroom_amount	parlor_amount	toilet_amount	cookroom_amount	build_size	face_code	face_ftr	face_ftr_new	build_end_year	build_end_year_ftr	build_end_year_ftr_new	is_sales_tax_ftr	is_sole_ftr	property_fee_ptr	distance_metor_code_ftr	is_school_district_ftr	fitment_type_code	fitment_ftr	total_floor_ftr	floor_scale	dealdate	dealdate_ftr	dealdate_ftr_new	realmoney	realmoney_wan	scale	uscale	balcony_amount_ftr	frame_structure	frame_structure_ftr	garden_amount_ftr	terrace_amount_ftr	balcony_area_ftr
10440972	210623205	BJCY56418644	1115029612655	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	10	10	2	1	1	1	89.0	100500000003;100500000007	0	3.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	18	0.555555555556	20111102	142	44	1850000.0	185.0	1.52848808932	1.52848808932	1	304400000001	1	0	0	0.0
4878585	200247724	BJCY00453367	1115030749613	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	16	16	2	2	1	1	90.0	100500000003	0	2.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	18	0.888888888889	20120108	144	42	1580000.0	158.0	1.62135954826	1.62135954826	1	304400000001	1	0	0	0.0
13086879	215392969	BJCY86319952	1115029490730	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	10	10	1	0	1	1	47.0	100500000003	0	2.0	2005	65	-10	1	0	2.2	5	1	112100000004	3	18	0.555555555556	20130825	163	23	1355000.0	135.5	1.00915956076	1.00915956076	1	304400000001	1	0	0	0.0
14143111	215521276	BJCY86448259	1115042697702	110000	18335713	1111027374303	富力又一城C区	1112041800386	16	12	12	2	2	1	1	89.0	100500000001;100500000003	0	2.0	2011	71	-4	0	1	2.2	0	0	112100000004	3	22	0.545454545455	20131016	165	21	2850000.0	285.0	0.939172935296	0.939172935296	1	304400000001	1	0	0	0.0
14245085	215741429	BJCY86668412	1115052791152	110000	18335713	1111027374303	富力又一城C区	1112043193753	17	15	15	1	0	1	1	54.0	100500000005	0	1.0	2010	70	-5	0	1	4.5	2	0	112100000004	3	19	0.789473684211	20140407	171	15	1365000.0	136.5	0.980758218479	0.980758218479	0	NULL	1	0	0	0
13128125	214291209	BJCY85218120	1115033671455	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	6	6	1	0	1	1	47.0	100500000003	0	2.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	18	0.333333333333	20121216	155	31	1000000.0	100.0	1.29651611033	1.29651611033	1	304400000001	1	0	0	0.0
4914077	213744815	BJCY84667726	1115030659891	110000	18335713	1111027374303	富力又一城C区	1112027399367	4	15	15	3	2	3	1	146.88	100500000003;100500000007	0	3.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	18	0.833333333333	20120906	152	34	3350000.0	335.0	1.38275042191	1.38275042191	2	304400000001	1	0	0	0.0
4788580	214504924	BJCY85431803	1115033955799	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	7	7	1	1	1	1	47.0	100500000003	0	2.0	2009	69	-6	0	0	2.2	5	0	112100000004	3	18	0.388888888889	20130203	157	29	1150000.0	115.0	1.13351289123	1.13351289123	1	304400000001	1	0	0	0.0
14466238	217119614	BJCY88043776	1115053987843	110000	18335713	1111027374303	富力又一城C区	1112046913402	18	5	5	3	2	1	1	127.21	100500000003;100500000005	0	2.0	2010	70	-5	0	0	4.5	4	0	NULL	3	19	0.263157894737	20150504	184	2	2750000.0	275.0	1.02198250286	1.02198250286	0	NULL	1	0	0	0
12958721	213482873	BJCY84405784	1115030733333	110000	18335713	1111027374303	富力又一城C区	1112027403608	6	16	16	2	2	1	1	88.64	100500000003;100500000005	0	2.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	23	0.695652173913	20120404	147	39	1700000.0	170.0	1.58895899336	1.58895899336	1	304400000001	1	0	0	0.0
